paper,doi,title,year,venue
https://dblp.org/rec/conf/3pgcic/CaballeCG20,https://doi.org/10.1007/978-3-030-61105-7_20,Evaluation on Using Conversational Pedagogical Agents to Support Collaborative Learning in MOOCs.,2021,3PGCIC
https://dblp.org/rec/conf/aaai/Chang14,https://doi.org/10.1609/AAAI.V28I1.8784,Analogy Tutor: A Tutoring System for Promoting Conceptual Learning via Comparison.,2014,AAAI
https://dblp.org/rec/conf/aaai/El-Sheikh99,,Development of a Methodology and Software Shell for the Automatic Generation of Intelligent Tutoring Systems from Existing Generic Task-based Expert Systems.,1999,AAAI/IAAI
https://dblp.org/rec/conf/aaai/GoswamiMM19,https://doi.org/10.1609/AAAI.V33I01.33019941,What's Most Broken? A Tool to Assist Data-Driven Iterative Improvement of an Intelligent Tutoring System.,2019,AAAI
https://dblp.org/rec/conf/aaai/GuevarraB0WETT25,https://doi.org/10.1609/AAAI.V39I28.35353,An LLM-Guided Tutoring System for Social Skills Training.,2025,AAAI
https://dblp.org/rec/conf/aaai/LuPCMC21,https://doi.org/10.1609/AAAI.V35I18.18020,RadarMath: An Intelligent Tutoring System for Math Education.,2021,AAAI
https://dblp.org/rec/conf/aaai/NkambouBTR23,https://doi.org/10.1609/AAAI.V37I13.26891,Learning Logical Reasoning Using an Intelligent Tutoring System: A Hybrid Approach to Student Modeling.,2023,AAAI
https://dblp.org/rec/conf/aaai/Nwana91,,FITS: A Fraction Intelligent Tutoring System.,1991,AAAI
https://dblp.org/rec/conf/aaai/PengCGT20,https://doi.org/10.1609/AAAI.V34I10.7220,Predicting Students' Attention Level with Interpretable Facial and Head Dynamic Features in an Online Tutoring System (Student Abstract).,2020,AAAI
https://dblp.org/rec/conf/aaai/RusG06,,Deeper Natural Language Processing for Evaluating Student Answers in Intelligent Tutoring Systems.,2006,AAAI
https://dblp.org/rec/conf/aaai/RusNB15,https://doi.org/10.1609/AAAI.V29I1.9269,"DeepTutor: An Effective, Online Intelligent Tutoring System That Promotes Deep Learning.",2015,AAAI
https://dblp.org/rec/conf/aaai/Soh07,,Integrated Introspective Case-Based Reasoning for Intelligent Tutoring Systems.,2007,AAAI
https://dblp.org/rec/conf/aaai/StamperBC07,,Extracting Student Models for Intelligent Tutoring Systems.,2007,AAAI
https://dblp.org/rec/conf/aaai/StoneL96,,Dynamically Sequencing an Animated Pedagogical Agent.,1996,"AAAI/IAAI, Vol. 1"
