paper,doi,title,year,venue
https://dblp.org/rec/conf/um/RazzaqMEMAW11,https://doi.org/10.1007/978-3-642-22362-4_33,4MALITY: Coaching Students with Different Problem-Solving Strategies Using an Online Tutoring System.,2011,UMAP
https://dblp.org/rec/conf/aied/BlanchardGR24,https://doi.org/10.1007/978-3-031-64312-5_58,7th Edition of the International Workshop on Culturally-Aware Tutoring Systems (CATS).,2024,AIED Companion (2)
https://dblp.org/rec/conf/its/ChangBMC06,https://doi.org/10.1007/11774303_11,A Bayes Net Toolkit for Student Modeling in Intelligent Tutoring Systems.,2006,Intelligent Tutoring Systems
https://dblp.org/rec/conf/ichl/ZhuangKC13,https://doi.org/10.1007/978-3-642-39750-9_3,A Case Review on the Implementation of Intelligent Tutoring Systems on Mobile Devices.,2013,ICHL
https://dblp.org/rec/conf/its/RitterTMHC10a,https://doi.org/10.1007/978-3-642-13437-1_110,A Cognitive Tutor for Geometric Proof.,2010,Intelligent Tutoring Systems (2)
https://dblp.org/rec/conf/aied/FaghihiFN11,https://doi.org/10.1007/978-3-642-21869-9_12,A Cognitive Tutoring Agent with Episodic and Causal Learning Capabilities.,2011,AIED
https://dblp.org/rec/conf/its/Lelouche00,https://doi.org/10.1007/3-540-45108-0_18,A Collection of Pedagogical Agents for Intelligent Educational Systems.,2000,Intelligent Tutoring Systems
https://dblp.org/rec/conf/um/MitrovicKM03,https://doi.org/10.1007/3-540-44963-9_42,A Comparative Analysis of Cognitive Tutoring and Constraint-Based Modeling.,2003,User Modeling
https://dblp.org/rec/conf/kes/Kozierkiewicz-HetmanskaN10,https://doi.org/10.1007/978-3-642-15387-7_32,A Computer Adaptive Testing Method for Intelligent Tutoring Systems.,2010,KES (1)
https://dblp.org/rec/conf/icchp/Choi04,https://doi.org/10.1007/978-3-540-27817-7_29,A Concept Map_Based Adaptive Tutoring System Supporting Learning Diagnosis for Students with Learning Disability.,2004,ICCHP
https://dblp.org/rec/conf/icl/ThurnerCBZ17,https://doi.org/10.1007/978-3-319-73210-7_90,A Concept for an Intelligent Tutoring System to Support Individual Learning Paths in Software Development Courses.,2018,ICL (1)
https://dblp.org/rec/conf/its/SaadZ02,https://doi.org/10.1007/3-540-47987-2_113,A Constructivist Knowledge Base Architecture for Adaptive Intelligent Tutoring Systems.,2002,Intelligent Tutoring Systems
https://dblp.org/rec/conf/its/OlneyD10,https://doi.org/10.1007/978-3-642-13437-1_113,A DIY Pressure Sensitive Chair for Intelligent Tutoring Systems.,2010,Intelligent Tutoring Systems (2)
https://dblp.org/rec/conf/ieaaie/NguyenHNTHLV23,https://doi.org/10.1007/978-3-031-36819-6_19,A Design Method for an Intelligent Tutoring System with Algorithms Visualization.,2023,IEA/AIE (1)
https://dblp.org/rec/conf/ksem/SuqinC06,https://doi.org/10.1007/11811220_33,A Framework for Automated Test Generation in Intelligent Tutoring Systems.,2006,KSEM
https://dblp.org/rec/conf/ieaaie/El-SheikhS98,https://doi.org/10.1007/3-540-64582-9_787,A Framework for Developing Intelligent Tutoring Systems Incorporating Reusability.,1998,IEA/AIE (Vol. 1)
https://dblp.org/rec/conf/csedu/HafnerLMHYO24,https://doi.org/10.5220/0012746400003693,A Framework for Intelligent Virtual Reality Tutoring System Using Semantic Web Technology.,2024,CSEDU (2)
https://dblp.org/rec/journals/umuai/TsirigaV04,https://doi.org/10.1023/B:USER.0000043396.14788.CC,A Framework for the Initialization of Student Models in Web-based Intelligent Tutoring Systems.,2004,User Model. User Adapt. Interact.
https://dblp.org/rec/conf/ah/ChoiY04,https://doi.org/10.1007/978-3-540-27780-4_57,A Fuzzy Set Based Tutoring System for Adaptive Learning.,2004,AH
https://dblp.org/rec/conf/sbia/Direne95,https://doi.org/10.1007/BFB0034808,A General Model of Dialogue Interpretation for Concept Tutoring Systems.,1995,SBIA
https://dblp.org/rec/conf/aied/SuraweeraMM05,,A Knowledge Acquisition System for Constraint-based Intelligent Tutoring Systems.,2005,AIED
https://dblp.org/rec/conf/ejc/BaumgartM21,https://doi.org/10.3233/FAIA210474,A Knowledge-Model for AI-Driven Tutoring Systems.,2022,EJC
https://dblp.org/rec/conf/cicling/NiraulaR14,https://doi.org/10.1007/978-3-642-54906-9_25,A Machine Learning Approach to Pronominal Anaphora Resolution in Dialogue Based Intelligent Tutoring Systems.,2014,CICLing (1)
https://dblp.org/rec/conf/its/RollBAK04,https://doi.org/10.1007/978-3-540-30139-4_98,A Metacognitive ACT-R Model of Students' Learning Strategies in Intelligent Tutoring Systems.,2004,Intelligent Tutoring Systems
https://dblp.org/rec/journals/solarjla/WolfeWTD18,https://doi.org/10.18608/JLA.2018.53.14,A Method for Automatically Analyzing Intelligent Tutoring System Dialogues with Coh-Metrix.,2018,J. Learn. Anal.
https://dblp.org/rec/conf/aciids/Kozierkiewicz-HetmanskaZ13,https://doi.org/10.1007/978-3-642-36543-0_14,A Method for Determination of an Opening Learning Scenario in Intelligent Tutoring Systems.,2013,ACIIDS (2)
https://dblp.org/rec/conf/its/TorreaoATSC04,https://doi.org/10.1007/978-3-540-30139-4_111,A Methodology for the Construction of Learning Companions.,2004,Intelligent Tutoring Systems
https://dblp.org/rec/conf/intenv/BadaraccoLM13,https://doi.org/10.3233/978-1-61499-286-8-419,A Mobile App for Adaptive Test in Intelligent Tutoring System Based on Competences.,2013,Intelligent Environments (Workshops)
https://dblp.org/rec/conf/aied/WeitekampS22,https://doi.org/10.1007/978-3-031-11647-6_100,A Mobile Invented Spelling Tutoring System.,2022,AIED (2)
https://dblp.org/rec/conf/its/GutierrezPK06,https://doi.org/10.1007/11774303_90,A Modular Architecture for Intelligent Web Resource Based Tutoring Systems.,2006,Intelligent Tutoring Systems
