paper,doi,title,year,venue
https://dblp.org/rec/conf/3pgcic/CaballeCG20,https://doi.org/10.1007/978-3-030-61105-7_20,Evaluation on Using Conversational Pedagogical Agents to Support Collaborative Learning in MOOCs.,2021,3PGCIC
https://dblp.org/rec/conf/ace/CrowLW18,https://doi.org/10.1145/3160489.3160492,Intelligent tutoring systems for programming education: a systematic review.,2018,ACE
https://dblp.org/rec/conf/acii/HawkinsHB13,https://doi.org/10.1109/ACII.2013.108,Which Is More Responsible for Boredom in Intelligent Tutoring Systems: Students (Trait) or Problems (State)?,2013,ACII
https://dblp.org/rec/conf/acii/RobisonML09,https://doi.org/10.1109/ACII.2009.5349555,Evaluating the consequences of affective feedback in intelligent tutoring systems.,2009,ACII
https://dblp.org/rec/conf/ACISicis/WijekumarS06,https://doi.org/10.1109/ICIS-COMSAR.2006.87,Web-Based Intelligent Tutoring Systems in K-12 Settings.,2006,ACIS-ICIS
https://dblp.org/rec/conf/acl/EugenioFYHG05,https://doi.org/10.3115/1219840.1219847,Aggregation Improves Learning: Experiments in Natural Language Generation for Intelligent Tutoring Systems.,2005,ACL
https://dblp.org/rec/conf/acl/Moghrabi98,https://doi.org/10.3115/980691.980715,Using Language Resources in an Intelligent Tutoring System for French.,1998,COLING-ACL
https://dblp.org/rec/conf/acm/OLander91,https://doi.org/10.1145/327164.328846,Intelligent tutoring systems (abstract only): an interactive approach to learning.,1991,ACM Conference on Computer Science
https://dblp.org/rec/conf/acmidc/HoCWHM21,https://doi.org/10.1145/3459990.3460709,RoboMath: Designing a Learning Companion Robot to Support Children's Numerical Skills.,2021,IDC
https://dblp.org/rec/conf/acmidc/MasmuzidinW12,https://doi.org/10.1145/2307096.2307145,v-Penglipur Lara: the development of a pedagogical agent in Malaysian folktales land.,2012,IDC
https://dblp.org/rec/conf/acmidc/WigginsWBHBLW19,https://doi.org/10.1145/3311927.3325321,From Doodles to Designs: Participatory Pedagogical Agent Design with Elementary Students.,2019,IDC
https://dblp.org/rec/conf/ACMse/Bozeman90,https://doi.org/10.1145/98949.99135,Intelligent tutoring systems for teaching algebra: the handling of student misconceptions.,1990,ACM Southeast Regional Conference
https://dblp.org/rec/conf/ACMse/LoW11,https://doi.org/10.1145/2016039.2016125,An online tutoring system with instant responses.,2011,ACM Southeast Regional Conference
https://dblp.org/rec/conf/ACMse/Sanborn21,https://doi.org/10.1145/3409334.3452087,AirFlute: a virtual flute and tutoring system.,2021,ACM Southeast Conference
https://dblp.org/rec/conf/ACMse/YooPYHLS06,https://doi.org/10.1145/1185448.1185482,Intelligent tutoring system for CS-I and II laboratory.,2006,ACM Southeast Regional Conference
https://dblp.org/rec/conf/acse/WheeldonR00,https://doi.org/10.1145/359369.359413,Classical planning in an intelligent tutoring system (poster session).,2000,ACSE
https://dblp.org/rec/conf/advis/OzdemirA00,https://doi.org/10.1007/3-540-40888-6_42,An Intelligent Tutoring System for Student Guidance in Web-Based Courses.,2000,ADVIS
https://dblp.org/rec/conf/agents/LesterS97,https://doi.org/10.1145/267658.269943,Increasing Believability in Animated Pedagogical Agents.,1997,Agents
https://dblp.org/rec/conf/agents/RickelJ98,https://doi.org/10.1145/280765.280851,STEVE: A Pedagogical Agent for Virtual Reality.,1998,Agents
https://dblp.org/rec/conf/agents/ShawJG99,https://doi.org/10.1145/301136.301210,Pedagogical Agents on the Web.,1999,Agents
https://dblp.org/rec/conf/ai/Champaign10,https://doi.org/10.1007/978-3-642-13059-5_54,Peer-Based Intelligent Tutoring Systems: A Corpus-Oriented Approach.,2010,Canadian AI
https://dblp.org/rec/conf/aiccsa/BouhadadaL01,https://doi.org/10.1109/AICCSA.2001.933949,DB-TUTOR: An Intelligent Tutoring System Using a Troublemaker Companion.,2001,AICCSA
https://dblp.org/rec/conf/aiccsa/LiQYZ07,https://doi.org/10.1109/AICCSA.2007.370733,Exploiting Model of Personality and Emotion of Learning Companion Agent.,2007,AICCSA
https://dblp.org/rec/conf/aict/EnchevaT05,https://doi.org/10.1109/AICT.2005.35,Cooperative Learning Objects in an Intelligent Web-Based Tutoring System.,2005,AICT/SAPIR/ELETE
https://dblp.org/rec/conf/aied/ArroyoWRT09,https://doi.org/10.3233/978-1-60750-028-5-41,Affective Gendered Learning Companions.,2009,AIED
https://dblp.org/rec/conf/aied/AzevedoWGMCSCRL09,https://doi.org/10.3233/978-1-60750-028-5-635,MetaTutor: Analyzing Self-Regulated Learning in a Tutoring System for Biology.,2009,AIED
https://dblp.org/rec/conf/aied/BlanchardLA09,https://doi.org/10.3233/978-1-60750-028-5-809,The Second Workshop on Culturally Aware Tutoring Systems.,2009,AIED
https://dblp.org/rec/conf/aied/CaiGMHWMF09,https://doi.org/10.3233/978-1-60750-028-5-796,ARIES: An Intelligent Tutoring System Assisted by Conversational Agents.,2009,AIED
https://dblp.org/rec/conf/aied/CetintasSXHZ09,https://doi.org/10.3233/978-1-60750-028-5-701,Learning to Identify Students' Off-Task Behavior in Intelligent Tutoring Systems.,2009,AIED
https://dblp.org/rec/conf/aied/ChaffarDF09,https://doi.org/10.3233/978-1-60750-028-5-716,Inducing positive emotional state in Intelligent Tutoring Systems.,2009,AIED
https://dblp.org/rec/conf/aied/DermevalABVLSP18,https://doi.org/10.1007/978-3-319-93846-2_13,Amplifying Teachers Intelligence in the Design of Gamified Intelligent Tutoring Systems.,2018,AIED (2)
https://dblp.org/rec/conf/aied/DianaESK17,https://doi.org/10.1007/978-3-319-61425-0_74,Teaching Informal Logical Fallacy Identification with a Cognitive Tutor.,2017,AIED
https://dblp.org/rec/conf/aied/EricksonAW18,https://doi.org/10.1007/978-3-319-93846-2_15,Exploring Gritty Students' Behavior in an Intelligent Tutoring System.,2018,AIED (2)
https://dblp.org/rec/conf/aied/FergusonWM09,https://doi.org/10.3233/978-1-60750-028-5-605,Transfer Learning and Representation Discovery in Intelligent Tutoring Systems.,2009,AIED
https://dblp.org/rec/conf/aied/KellyH15,https://doi.org/10.1007/978-3-319-19773-9_128,Developing Self-regulated Learners Through an Intelligent Tutoring System.,2015,AIED
https://dblp.org/rec/conf/aied/NaismithBRL09,https://doi.org/10.3233/978-1-60750-028-5-719,EAGLE: An Intelligent Tutoring System to Support Experiential Learning Through Video Games.,2009,AIED
https://dblp.org/rec/conf/aied/Olney09,https://doi.org/10.3233/978-1-60750-028-5-803,GnuTutor: An open source intelligent tutoring system.,2009,AIED
https://dblp.org/rec/conf/aied/RauAR09,https://doi.org/10.3233/978-1-60750-028-5-441,Intelligent Tutoring Systems with Multiple Representations and Self-Explanation Prompts Support Learning of Fractions.,2009,AIED
https://dblp.org/rec/conf/aied/RobisonML09,https://doi.org/10.3233/978-1-60750-028-5-25,Modeling Task-Based vs. Affect-based Feedback Behavior in Pedagogical Agents: An Inductive Approach.,2009,AIED
https://dblp.org/rec/conf/aina/KimS10,https://doi.org/10.1109/WAINA.2010.147,An Instructional Strategy Selection Model Based on Agent and Ontology for an Intelligent Tutoring System.,2010,AINA Workshops
https://dblp.org/rec/conf/aisi/JimenezJTR16,https://doi.org/10.1007/978-3-319-48308-5_58,Affective Dialogue Ontology for Intelligent Tutoring Systems: Human Assessment Approach.,2017,AISI
https://dblp.org/rec/conf/amcc/YuhRTJ24,https://doi.org/10.23919/ACC60939.2024.10644169,Using Reward Shaping to Train Cognitive-Based Control Policies for Intelligent Tutoring Systems.,2024,ACC
https://dblp.org/rec/conf/anlp/EvensCLSWZ97,https://doi.org/10.3115/974281.974289,CIRCSIM-Tutor: An Intelligent Tutoring System Using Natural Language Dialogue.,1997,ANLP
https://dblp.org/rec/conf/annes/AlemL93,https://doi.org/10.1109/ANNES.1993.323045,A task oriented intelligent tutoring system.,1993,ANNES
https://dblp.org/rec/conf/anziis/TyermanWW96,https://doi.org/10.1109/ANZIIS.1996.573889,Loop Tutor and Hypertutor: experiences with adaptive tutoring systems.,1996,ANZIIS
https://dblp.org/rec/conf/apascience/OuversonIWGD18,https://doi.org/10.1145/3183654.3183701,What Intelligent Team Tutoring Systems Can Learn from Human-Agent Teams.,2018,APAScience
https://dblp.org/rec/conf/apcc/LeL0D19,https://doi.org/10.1109/APCC47188.2019.9026411,Knowledge representation for designing an Intelligent Tutoring System in learning of courses about Algorithms.,2019,APCC
https://dblp.org/rec/conf/apchi/DahlanC98,https://doi.org/10.1109/APCHI.1998.704484,An Interactive Tutoring System with Tutorials Generation and English-Malay Translation Abilities.,1998,APCHI
https://dblp.org/rec/conf/apgv/KaulRH16,https://doi.org/10.1145/2931002.2948727,Exploring users' perceived activities in a sketch-based intelligent tutoring system through eye movement data.,2016,SAP
https://dblp.org/rec/conf/asru/LuboldPW15,https://doi.org/10.1109/ASRU.2015.7404781,Naturalness and rapport in a pitch adaptive learning companion.,2015,ASRU
https://dblp.org/rec/conf/assets/MichaudMP00,https://doi.org/10.1145/354324.354348,An intelligent tutoring system for deaf learners of written English.,2000,ASSETS
https://dblp.org/rec/conf/assets/WenZSA21,https://doi.org/10.1145/3441852.3476568,An Intelligent Math E-Tutoring System for Students with Specific Learning Disabilities.,2021,ASSETS
https://dblp.org/rec/conf/atal/Baylor03,https://doi.org/10.1145/860575.860729,The impact of three pedagogical agent roles.,2003,AAMAS
https://dblp.org/rec/conf/audio/JylhaE11,https://doi.org/10.1145/2095667.2095683,Auditory feedback in an interactive rhythmic tutoring system.,2011,Audio Mostly Conference
https://dblp.org/rec/conf/bdc/BannoMS20,https://doi.org/10.1109/BDCAT50828.2020.00007,Automated Cognitive Analyses for Intelligent Tutoring Systems.,2020,BDCAT
https://dblp.org/rec/conf/bigdataconf/ImtiazSV21,https://doi.org/10.1109/BIGDATA52589.2021.9671757,Mining Learner-friendly Security Patterns from Huge Published Histories of Software Applications for an Intelligent Tutoring System in Secure Coding.,2021,IEEE BigData
https://dblp.org/rec/conf/bir/DabolinsG16,https://doi.org/10.1007/978-3-319-45321-7_17,Intelligent Tutoring System for Learning Graphics in CAD/CAM.,2016,BIR
https://dblp.org/rec/conf/c5/Core12,https://doi.org/10.1109/C5.2012.16,Natural Language Understanding Considerations for a Lifelong Learning Companion.,2012,C5
https://dblp.org/rec/conf/candc/Williford17,https://doi.org/10.1145/3059454.3078695,SketchTivity: Improving Creativity by Learning Sketching with an Intelligent Tutoring System.,2017,Creativity & Cognition
https://dblp.org/rec/conf/cbms/Hume92,https://doi.org/10.1109/CBMS.1992.244927,A dynamic student model in a cardiovascular intelligent tutoring system.,1992,CBMS
https://dblp.org/rec/conf/cbms/ShimEMR91,https://doi.org/10.1109/CBMS.1991.128989,Effective cognitive modeling in an intelligent tutoring system for cardiovascular physiology.,1991,CBMS
https://dblp.org/rec/conf/cbms/SukthankarRERM93,https://doi.org/10.1109/CBMS.1993.262968,Graphical user interfacing with domain visualization for an intelligent medical tutoring system.,1993,CBMS
https://dblp.org/rec/conf/cbms/WooEMR91,https://doi.org/10.1109/CBMS.1991.128971,Dynamic instructional planning for an intelligent physiology tutoring system.,1991,CBMS
https://dblp.org/rec/conf/ccnc/NuguriKGCLBSN25,https://doi.org/10.1109/CCNC54725.2025.10975863,Adaptive Virtual Reality Learning Environment with a Reinforcement Learning-Driven Pedagogical Agent.,2025,CCNC
https://dblp.org/rec/conf/ccwc/YesirR23,https://doi.org/10.1109/CCWC57344.2023.10099098,Recent Advances in Artificial Intelligence Enabled Tutoring Systems: A Survey.,2023,CCWC
https://dblp.org/rec/conf/cdve/KaklauskasZBSVP07,https://doi.org/10.1007/978-3-540-74780-2_18,Intelligent Library and Tutoring System for Brita in the PuBs Project.,2007,CDVE
https://dblp.org/rec/conf/cgames/TzengW14,https://doi.org/10.1109/CGAMES.2014.6934153,Identification features and pedagogical agents in a mathematical game.,2014,CGAMES
https://dblp.org/rec/conf/chi/Baker07,https://doi.org/10.1145/1240624.1240785,Modeling and understanding students' off-task behavior in intelligent tutoring systems.,2007,CHI
https://dblp.org/rec/conf/chi/BakerCKW04,https://doi.org/10.1145/985692.985741,"Off-task behavior in the cognitive tutor classroom: when students ""game the system"".",2004,CHI
